order_id,date,product,price,qty,city,total
ORD0137,2025-04-18,平板,2999,5,杭州,14995
ORD0138,2025-04-08,笔记本,6999,3,深圳,20997
ORD0139,2025-01-13,平板,2999,3,深圳,8997
ORD0140,2025-02-27,鼠标,129,4,上海,516
ORD0141,2025-05-01,键盘,499,4,杭州,1996
ORD0142,2025-06-01,键盘,499,1,深圳,499
ORD0143,2025-04-06,笔记本,6999,1,广州,6999
ORD0144,2025-03-07,平板,2999,4,广州,11996
ORD0145,2025-04-09,耳机,299,4,广州,1196
ORD0146,2025-04-01,手机,3999,5,北京,19995
ORD0147,2025-02-21,耳机,299,1,北京,299
ORD0148,2025-02-07,手机,3999,1,杭州,3999
ORD0149,2025-02-05,笔记本,6999,4,北京,27996
ORD0150,2025-02-15,键盘,499,3,广州,1497
ORD0151,2025-05-20,笔记本,6999,1,上海,6999
ORD0152,2025-01-19,耳机,299,1,广州,299
ORD0153,2025-06-13,键盘,499,4,上海,1996
ORD0154,2025-05-23,手机,3999,2,北京,7998
ORD0155,2025-03-28,鼠标,129,5,北京,645
ORD0156,2025-01-12,键盘,499,5,深圳,2495
ORD0157,2025-03-03,鼠标,129,5,广州,645
ORD0158,2025-04-27,手机,3999,4,北京,15996
ORD0159,2025-03-21,平板,2999,4,上海,11996
ORD0160,2025-02-24,平板,2999,5,广州,14995
ORD0161,2025-05-25,键盘,499,4,深圳,1996
ORD0162,2025-06-19,平板,2999,3,广州,8997
ORD0163,2025-01-09,笔记本,6999,4,上海,27996
ORD0164,2025-05-20,平板,2999,4,广州,11996
ORD0165,2025-04-28,手机,3999,3,上海,11997
ORD0166,2025-02-12,平板,2999,3,广州,8997
ORD0167,2025-05-23,耳机,299,3,杭州,897
ORD0168,2025-05-07,手机,3999,1,上海,3999
ORD0169,2025-04-16,鼠标,129,5,上海,645
ORD0170,2025-04-21,鼠标,129,4,深圳,516
ORD0171,2025-01-10,手机,3999,2,深圳,7998
ORD0172,2025-02-10,鼠标,129,5,广州,645
ORD0173,2025-05-17,平板,2999,3,深圳,8997
ORD0174,2025-05-11,鼠标,129,3,深圳,387
ORD0175,2025-03-09,耳机,299,2,北京,598
ORD0176,2025-02-11,鼠标,129,1,杭州,129
ORD0177,2025-02-07,鼠标,129,2,深圳,258
ORD0178,2025-06-19,耳机,299,5,杭州,1495
ORD0179,2025-01-27,耳机,299,2,广州,598
ORD0180,2025-03-06,笔记本,6999,3,北京,20997
ORD0181,2025-05-05,鼠标,129,3,北京,387
ORD0182,2025-05-10,手机,3999,2,深圳,7998
ORD0183,2025-01-19,手机,3999,3,深圳,11997
ORD0184,2025-04-11,平板,2999,2,北京,5998
ORD0185,2025-04-04,耳机,299,1,深圳,299
ORD0186,2025-01-19,平板,2999,1,上海,2999
ORD0187,2025-05-10,笔记本,6999,1,上海,6999
ORD0188,2025-05-25,手机,3999,4,杭州,15996
ORD0189,2025-05-08,键盘,499,5,深圳,2495
ORD0190,2025-04-10,平板,2999,5,深圳,14995
ORD0191,2025-05-20,耳机,299,1,杭州,299
ORD0192,2025-01-25,鼠标,129,2,上海,258
ORD0193,2025-06-03,耳机,299,2,上海,598
ORD0194,2025-05-03,笔记本,6999,2,北京,13998
ORD0195,2025-04-23,平板,2999,5,深圳,14995
ORD0196,2025-01-08,耳机,299,3,广州,897
ORD0197,2025-04-03,鼠标,129,2,广州,258
ORD0198,2025-05-22,鼠标,129,2,深圳,258
ORD0199,2025-05-08,手机,3999,2,广州,7998
ORD0200,2025-01-02,笔记本,6999,2,广州,13998
